Наименование ;Артикул;Цена;Цвет;Серия;Расположение;Ссылка;Количество
Комод;004.035.63;4 999;Белый;MALM;Спальня;https://www.ikea.com/ru/ru/p/malm-malm-komod-s-3-yashchikami-belyy-00403563/;1
Кровать ;304.852.13;22 999;Белый;BRIMNES;Спальня;https://www.ikea.com/ru/ru/p/brimnes-brimnes-krovat-s-podemnym-mehanizmom-belyy-30485213/;1
Шкаф;904.079.29;9 999;Белый;BRIMNES;Спальня;https://www.ikea.com/ru/ru/p/brimnes-brimnes-shkaf-platyanoy-3-dvernyy-belyy-90407929/;1
Зеркало напольное;303.792.22;2 499;Белый;FLAKNAN;Спальня;https://www.ikea.com/ru/ru/p/flaknan-flaknan-zerkalo-napolnoe-belyy-30379222/;1
Прикроватная тумба;003.685.31;4 998;Белый;MALM;Спальня;https://www.ikea.com/ru/ru/p/malm-malm-komod-s-2-yashchikami-belyy-00368531/;2
Туалетный столик;404.395.60;9 999;Белый;SYVDE;Спальня;https://www.ikea.com/ru/ru/p/syvde-syuvde-tualetnyy-stolik-belyy-40439560/;1
Диван;505.062.38;59 999;Серый;?PPLARYD;Гостиная;https://www.ikea.com/ru/ru/p/aepplaryd-epplaryud-3-mestnyy-divan-leyde-seryy-chernyy-50506238/;1
Ковер;505.086.90;5 499;Бежевый;ALLERSLEV;Гостиная;https://www.ikea.com/ru/ru/p/allerslev-allerslev-kover-dlinnyy-vors-svetlo-bezhevyy-50508690/;1
Тумба под телевизор;693.284.01;12 299;Белый;BEST?;Гостиная;https://www.ikea.com/ru/ru/p/besta-besto-tumba-pod-tv-belyy-lappviken-belyy-s69328401/;1
Стеллаж;692.435.53;8 490;Белый;BILLY / OXBERG;Гостиная;https://www.ikea.com/ru/ru/p/billy-billi-oxberg-oksberg-stellazh-belyy-s69243553/;1
